,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
89,heat,6,0,0.9064748201438848,,,holding 0,10.5,11.583333333333334,487.6000000014901,4,652.6,0,0,466,"['191209-19151-024', '191113-12084-001', '200204-19180-371', '200204-19180-370', '200204-19180-369']",2020-01-12 00:38:00,642.1,2020-01-11 08:25:00,720.4,0,,2020-01-12 12:13:00,652.6,,0,,
90,heat,6,0,72.77890466531439,,,increasing 0,597.9999999999999,8.216666666666667,1779.8999999985099,4,1250.6,0,0,466,"['191209-19151-024', '191113-12084-001', '200204-19180-371', '200204-19180-370', '200204-19180-369']",2020-01-12 12:13:00,652.6,2020-01-11 08:25:00,720.4,2020-01-11 05:43:00,,2020-01-12 20:26:00,1250.6,,0,,
91,open,,0,,,,,,,16.199999999254942,4,,,,,,2020-01-13 09:09:00,1274.0,,,,,2020-01-13 09:16:00,1097.0,,,,
92,reheat,,0,,,,,,,41.09999999962747,4,,,,1,,2020-01-13 09:16:00,1097.0,,,,,2020-01-13 09:28:00,,,,,
93,hold,,0,,,,,,,75.10000000149012,4,,,,,,2020-01-13 09:28:00,1278.7,,,,,2020-01-13 09:59:00,1276.0,,,1271.89375,
94,open,,0,,,,,,,0.0,4,,,,,,2020-01-13 09:59:00,1276.0,,,,,2020-01-13 10:02:00,1058.0,,,,
95,reheat,,0,,,,,,,49.79999999888241,4,,,,0,,2020-01-13 10:02:00,1058.0,,,,,2020-01-13 10:14:00,,,,,
96,hold,,0,,,,,,,32.09999999962747,4,,,,,,2020-01-13 10:14:00,1277.3,,,,,2020-01-13 10:26:00,1276.1,,,1274.076923076923,
97,open,,0,,,,,,,3.600000001490116,4,,,,,,2020-01-13 10:26:00,1276.1,,,,,2020-01-13 10:42:00,736.8,,,,
98,reheat,,0,,,,,,,231.2999999988824,4,,,,2,,2020-01-13 10:42:00,736.8,,,,,2020-01-13 11:08:00,,,,,
99,hold,,0,,,,,,,498.0,4,,,,,,2020-01-13 11:08:00,1282.4,,,,,2020-01-13 12:58:00,1273.2,,,1271.8351351351353,
100,open,,0,,,,,,,14.200000001117587,4,,,,,,2020-01-13 12:58:00,1273.2,,,,,2020-01-13 13:04:00,989.6,,,,
101,reheat,,0,,,,,,,83.0,4,,,,1,,2020-01-13 13:04:00,989.6,,,,,2020-01-13 13:22:00,,,,,
102,hold,,0,,,,,,,10.699999999254942,4,,,,,,2020-01-13 13:22:00,1268.0,,,,,2020-01-13 13:25:00,1274.0,,,1270.375,
103,open,,0,,,,,,,24.699999999254942,4,,,,,,2020-01-13 13:25:00,1274.0,,,,,2020-01-13 13:34:00,1075.4,,,,
104,reheat,,0,,,,,,,56.40000000037253,4,,,,0,,2020-01-13 13:34:00,1075.4,,,,,2020-01-13 13:48:00,,,,,
105,open,,0,,,,,,,17.700000001117587,4,,,,,,2020-01-13 13:48:00,1283.5,,,,,2020-01-13 13:56:00,1028.5,,,,
106,reheat,,0,,,,,,,56.29999999888241,4,,,,1,,2020-01-13 13:56:00,1028.5,,,,,2020-01-13 14:09:00,,,,,
