순번,프레스명,작업일자,주/야간,가열로명,소재개수,중량(kg),최대중량(kg),최소홀딩시간,최대홀딩시간,시작온도,가열시작일시,가열종료일시,종료온도,소요시간(분),총가스사용량,단위가스사용량(사용량/중량)
157,프레스(P5000),2020-01-13,야간,가열로5호기,5,65690,19600,12,13,-,2020-01-11 08:25,2020-01-13 20:42,-,3617,7827.1,119.2
158,프레스(P15000),2020-01-13,야간,가열로5호기,3,40440,13480,6,12,-,2020-01-13 20:47,2020-01-14 05:29,-,522,1992.2,49.3
159,프레스(P15000),2020-01-13,야간,가열로6호기,4,85200,21300,15,0,-,2020-01-11 07:00,2020-01-14 04:40,-,4180,8712.4,102.3
160,링밀(R/M 9500),2020-01-13,주간,가열로7호기,8,34320,4290,4,10,-,2020-01-12 08:05,2020-01-13 23:30,-,2365,3266.5,95.2
161,링밀(R/M 9500),2020-01-13,야간,가열로7호기,4,37030,9970,4,10,-,2020-01-13 23:44,2020-01-14 10:55,-,671,1273.5,34.4
162,링밀(R/M 9500),2020-01-13,주간,가열로8호기,12,82740,7630,4,10,-,2020-01-12 06:00,2020-01-13 13:32,-,1892,2832,34.2
163,링밀(R/M 9500),2020-01-13,야간,가열로8호기,18,45540,2530,4,10,-,2020-01-13 13:37,2020-01-14 02:07,-,750,1890.6,41.5
164,링밀(R/M 9500),2020-01-13,주간,가열로9호기,8,62700,8380,4,10,-,2020-01-11 23:19,2020-01-13 23:13,-,2874,7149.6,114
165,링밀(R/M 9500),2020-01-13,야간,가열로9호기,8,73670,9970,4,10,-,2020-01-13 23:18,2020-01-14 07:10,-,472,1240.6,16.8
166,링밀(R/M 9500),2020-01-13,주간,가열로10호기,15,63940,7190,4,10,-,2020-01-12 00:00,2020-01-14 00:00,-,2880,-,0
167,링밀(R/M 9500),2020-01-13,야간,가열로10호기,17,57560,6800,4,10,-,2020-01-12 00:00,2020-01-14 00:00,-,2880,-,0
168,링밀(R/M 9500),2020-01-13,주간,가열로11호기,13,59830,7630,4,10,-,2020-01-12 00:00,2020-01-14 00:00,-,2880,-,0
169,링밀(R/M 9500),2020-01-13,야간,가열로11호기,18,73300,5770,4,10,-,2020-01-12 00:00,2020-01-14 00:00,-,2880,-,0
170,프레스(P8000),2020-01-13,야간,가열로12호기,18,59326.1,4112,7.5,7.5,-,2020-01-11 07:28,2020-01-13 23:46,-,3858,7423.5,125.1
171,프레스(P15000),2020-01-13,주간,가열로13호기,2,93780,50445,8,0,-,2020-01-11 06:42,2020-01-13 13:17,-,3275,8332.1,88.8
172,링밀(R/M 9500),2020-01-13,주간,가열로13호기,2,93780,50445,4,10,-,2020-01-13 13:20,2020-01-13 14:50,-,90,393.5,4.2
173,프레스(P8000),2020-01-13,주간,가열로14호기,19,61215,6384,7.5,7.5,-,2020-01-11 07:22,2020-01-13 18:02,-,3520,5093.6,83.2
174,프레스(P8000),2020-01-13,야간,가열로15호기,20,80153,5448,7.5,7.5,-,2020-01-11 07:28,2020-01-14 01:21,-,3953,6738,84.1
