,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부
41,234.1,1800,1620,697.8,2,32200,16100,3,21240,7080,0,0,0,0,0,0,0,0,0,0,0,0,7,63440,16100,0,0,0,0,0,0,7,63440,16100,1320,0,강종누락,5,2019-07-17,주간,2019-07-15 19:37,월,안겹침,0,8,0,AC,평일
42,419.9,2520,2460,970.0,4,64400,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,134150,16350,0,0,0,0,0,0,9,134150,16350,6240,0,강종누락,3,2019-07-17,주간,2019-07-16 16:48,화,안겹침,0,10,0,A,평일
43,415.0,3480,3240,808.6,8,88000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,112200,12100,0,0,0,0,0,0,10,112200,12100,24120,1,강종누락,2,2019-07-17,야간,2019-07-17 1:55,수,안겹침,0,5,0,A,평일
44,360.1,4200,3480,1149.4,6,81144,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,81144,13524,0,0,0,0,0,0,6,81144,13524,420,1,누락없음,4,2019-07-17,야간,2019-07-17 5:17,수,안겹침,0,6,0,A,평일
45,1682.2,11820,11700,522.9,6,81144,13524,1,5880,5880,0,0,0,0,0,0,0,0,0,0,0,0,7,87024,13524,0,0,0,0,0,0,7,87024,13524,29160,0,누락없음,5,2019-07-18,주간,2019-07-17 19:35,수,겹침,0,7,2,AC,평일
46,1215.3,7440,7380,841.0,5,83750,19350,0,0,0,0,0,0,2,30200,15100,0,0,0,0,0,0,7,113950,19350,2,30200,15100,0,0,0,7,113950,19350,15060,0,누락없음,3,2019-07-18,주간,2019-07-17 19:40,수,안겹침,0,9,0,A,평일
47,268.5,2100,2100,610.9,8,78696,9837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78696,9837,0,0,0,0,0,0,8,78696,9837,1200,0,누락없음,2,2019-07-18,야간,2019-07-18 6:39,목,겹침,0,10,8,A,평일
48,890.3,5220,5160,712.7,0,0,0,0,0,0,0,0,0,5,54860,15100,0,0,0,0,0,0,7,70860,15100,5,54860,15100,0,0,0,7,70860,15100,13800,0,강종누락,4,2019-07-18,야간,2019-07-18 3:09,목,안겹침,0,6,0,A,평일
49,777.3,5100,5040,962.7,0,0,0,8,73520,9190,0,0,0,1,15100,15100,2,19080,9540,0,0,0,13,123700,15100,3,34180,15100,0,0,0,13,123700,15100,1260,0,강종누락,3,2019-07-19,주간,2019-07-18 19:05,목,겹침,0,7,1,AC,평일
50,2641.7,35100,34200,459.8,0,0,0,8,73520,9190,0,0,0,0,0,0,0,0,0,0,0,0,8,73520,9190,0,0,0,0,0,0,8,73520,9190,104340,1,누락없음,1,2019-07-19,주간,2019-07-18 11:54,목,안겹침,0,8,0,C,평일
