,Type,cycle,drop_flag,in,out,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
133,reheat,,0,,,56.5,,5,,,,1,,2019-07-09 22:25:00,1003.0,,,,,2019-07-09 22:34:00,,,,,
134,heat,6,1,,,2887.9000000003725,2887.9000000003725,5,1256.0,0,0,5,[],2019-07-09 23:23:00,651.9,2019-07-09 23:23:00,651.9,2019-07-09 22:49:00,,2019-07-10 05:06:00,1256.0,,0,,
135,open,,0,,,3.400000000372529,,5,,,,,,2019-07-10 20:11:00,1271.4,,,,,2019-07-10 20:16:00,937.4,,,,
136,reheat,,0,,,104.59999999962747,,5,,,,1,,2019-07-10 20:16:00,937.4,,,,,2019-07-10 20:36:00,,,,,
137,hold,,0,,,10.099999999627471,,5,,,,,,2019-07-10 20:36:00,1271.8,,,,,2019-07-10 20:39:00,1271.5,,,1271.575,
138,open,,0,,,5.0,,5,,,,,,2019-07-10 20:39:00,1271.5,,,,,2019-07-10 20:43:00,967.7,,,,
139,reheat,,0,,,73.0,,5,,,,1,,2019-07-10 20:43:00,967.7,,,,,2019-07-10 20:55:00,,,,,
140,hold,,0,,,41.80000000074506,,5,,,,,,2019-07-10 20:55:00,1286.4,,,,,2019-07-10 21:07:00,1271.3,,,1274.8384615384614,
141,open,,0,,,3.400000000372529,,5,,,,,,2019-07-10 21:07:00,1271.3,,,,,2019-07-10 21:10:00,975.9,,,,
142,reheat,,0,,,39.899999998509884,,5,,,,1,,2019-07-10 21:10:00,975.9,,,,,2019-07-10 21:19:00,,,,,
143,hold,,0,,,95.20000000111759,,5,,,,,,2019-07-10 21:19:00,1220.0,,,,,2019-07-10 21:45:00,1270.7,,,1262.448148148148,
144,open,,0,,,6.699999999254942,,5,,,,,,2019-07-10 21:45:00,1270.7,,,,,2019-07-10 21:49:00,1016.4,,,,
145,reheat,,0,,,81.40000000037253,,5,,,,1,,2019-07-10 21:49:00,1016.4,,,,,2019-07-10 22:06:00,,,,,
146,hold,,0,,,25.09999999962747,,5,,,,,,2019-07-10 22:06:00,1272.1,,,,,2019-07-10 22:15:00,1271.4,,,1271.2599999999998,
147,open,,0,,,1.700000001117587,,5,,,,,,2019-07-10 22:15:00,1271.4,,,,,2019-07-10 22:18:00,983.5,,,,
148,reheat,,0,,,67.89999999850988,,5,,,,1,,2019-07-10 22:18:00,983.5,,,,,2019-07-10 22:29:00,,,,,
