,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
98,hold,,0,,,,,,,36.80000000074506,,2,,,,,,2019-07-15 09:41:00,1289.6,,,,,2019-07-15 09:52:00,1276.6,,,1282.0,
99,open,,0,,,,,,,18.399999998509884,,2,,,,,,2019-07-15 09:52:00,1276.6,,,,,2019-07-15 09:59:00,989.8,,,,
100,reheat,,0,,,,,,,71.80000000074506,,2,,,,1,,2019-07-15 09:59:00,989.8,,,,,2019-07-15 10:17:00,,,,,
101,hold,,0,,,,,,,15.0,,2,,,,,,2019-07-15 10:17:00,1282.3,,,,,2019-07-15 10:21:00,1290.7,,,1285.6399999999999,
102,open,,0,,,,,,,13.400000000372529,,2,,,,,,2019-07-15 10:21:00,1290.7,,,,,2019-07-15 10:27:00,1013.9,,,,
103,reheat,,0,,,,,,,51.69999999925494,,2,,,,1,,2019-07-15 10:27:00,1013.9,,,,,2019-07-15 10:40:00,,,,,
104,hold,,0,,,,,,,38.30000000074506,,2,,,,,,2019-07-15 10:40:00,1279.5,,,,,2019-07-15 10:50:00,1289.9,,,1285.4090909090908,
105,open,,0,,,,,,,26.699999999254942,,2,,,,,,2019-07-15 10:50:00,1289.9,,,,,2019-07-15 11:01:00,959.6,,,,
106,reheat,,0,,,,,,,69.80000000074506,,2,,,,1,,2019-07-15 11:01:00,959.6,,,,,2019-07-15 11:17:00,,,,,
107,hold,,0,,,,,,,28.299999998882413,,2,,,,,,2019-07-15 11:17:00,1291.6,,,,,2019-07-15 11:26:00,1287.0,,,1284.06,
108,open,,0,,,,,,,11.600000001490116,,2,,,,,,2019-07-15 11:26:00,1287.0,,,,,2019-07-15 11:32:00,953.1,,,,
109,reheat,,0,,,,,,,63.09999999962747,,2,,,,0,,2019-07-15 11:32:00,953.1,,,,,2019-07-15 11:47:00,,,,,
110,open,,0,,,,,,,21.59999999962747,,2,,,,,,2019-07-15 11:48:00,1293.9,,,,,2019-07-15 11:56:00,1038.3,,,,
111,reheat,,0,,,,,,,53.100000001490116,,2,,,,0,,2019-07-15 11:56:00,1038.3,,,,,2019-07-15 12:08:00,,,,,
112,hold,,0,,,,,,,219.19999999925494,,2,,,,,,2019-07-15 12:08:00,1292.7,,,,,2019-07-15 13:22:00,1276.9,,,1276.8693333333333,
113,open,,0,,,,,,,23.199999999254942,,2,,,,,,2019-07-15 13:22:00,1276.9,,,,,2019-07-15 13:32:00,991.7,,,,
114,reheat,,0,,,,,,,46.20000000111759,,2,,,,1,,2019-07-15 13:32:00,991.7,,,,,2019-07-15 13:43:00,,,,,
115,open,,0,,,,,,,3.299999998882413,,2,,,,,,2019-07-15 13:43:00,1293.0,,,,,2019-07-15 13:47:00,888.6,,,,
116,reheat,,0,,,,,,,19.90000000037253,,2,,,,1,,2019-07-15 13:47:00,888.6,,,,,2019-07-15 13:54:00,,,,,
117,open,,0,,,,,,,5.0,,2,,,,,,2019-07-15 13:54:00,1165.7,,,,,2019-07-15 13:56:00,990.4,,,,
118,reheat,,0,,,,,,,55.90000000037253,,2,,,,1,,2019-07-15 13:56:00,990.4,,,,,2019-07-15 14:08:00,,,,,
119,open,,0,,,,,,,3.300000000745058,,2,,,,,,2019-07-15 14:09:00,1287.2,,,,,2019-07-15 14:11:00,1006.3,,,,
120,reheat,,0,,,,,,,79.09999999962747,,2,,,,1,,2019-07-15 14:11:00,1006.3,,,,,2019-07-15 14:28:00,,,,,
121,heat,5,1,93.75483870967741,,,increasing 0,484.4,5.166666666666667,999.9000000003725,999.9000000003725,2,1205.3,0,0,1,[],2019-07-15 19:24:00,720.9,2019-07-15 16:10:00,664.3,2019-07-15 15:30:00,,2019-07-16 00:34:00,1205.3,,0,,
122,open,,0,,,,,,,20.0,,2,,,,,,2019-07-16 08:53:00,1235.5,,,,,2019-07-16 09:02:00,1012.4,,,,
123,reheat,,0,,,,,,,58.0,,2,,,,1,,2019-07-16 09:02:00,1012.4,,,,,2019-07-16 09:20:00,,,,,
124,hold,,0,,,,,,,8.400000000372529,,2,,,,,,2019-07-16 09:20:00,1232.5,,,,,2019-07-16 09:23:00,1237.1,,,1234.925,
125,open,,0,,,,,,,8.299999998882413,,2,,,,,,2019-07-16 09:23:00,1237.1,,,,,2019-07-16 09:28:00,944.2,,,,
126,reheat,,0,,,,,,,54.59999999962747,,2,,,,1,,2019-07-16 09:28:00,944.2,,,,,2019-07-16 09:41:00,,,,,
127,hold,,0,,,,,,,8.300000000745058,,2,,,,,,2019-07-16 09:41:00,1256.5,,,,,2019-07-16 09:43:00,1254.9,,,1250.3333333333333,
128,open,,0,,,,,,,29.800000000745058,,2,,,,,,2019-07-16 09:43:00,1254.9,,,,,2019-07-16 09:54:00,950.5,,,,
129,reheat,,0,,,,,,,39.59999999962747,,2,,,,0,,2019-07-16 09:54:00,950.5,,,,,2019-07-16 10:04:00,,,,,
130,open,,0,,,,,,,8.299999998882413,,2,,,,,,2019-07-16 10:04:00,1253.7,,,,,2019-07-16 10:08:00,926.4,,,,
131,reheat,,0,,,,,,,49.5,,2,,,,0,,2019-07-16 10:08:00,926.4,,,,,2019-07-16 10:17:00,,,,,
132,open,,0,,,,,,,3.300000000745058,,2,,,,,,2019-07-16 10:17:00,1281.7,,,,,2019-07-16 10:19:00,1057.1,,,,
133,reheat,,0,,,,,,,69.40000000037253,,2,,,,0,,2019-07-16 10:19:00,1057.1,,,,,2019-07-16 10:33:00,,,,,
134,hold,,0,,,,,,,33.19999999925494,,2,,,,,,2019-07-16 10:33:00,1291.6,,,,,2019-07-16 10:41:00,1288.3,,,1285.9222222222222,
