,가열로번호,cycle,에너지,시작시간,종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
126,18,64,224.0,2020-03-24 09:50:00,2020-03-24 11:04:00,4440,0.0504504505,1253.5,1254.9,6,142070,60500,CARBON,0,1,0,0,0,0,6,142070,60500,이상없음,0
127,18,42,393.9,2020-02-25 13:50:00,2020-02-25 16:00:00,7800,0.0505,1251.1,1255.4,3,86200,34300,CARBON,0,1,0,0,0,0,3,86200,34300,이상없음,0
128,18,39,1016.7,2020-02-20 19:22:00,2020-02-21 00:57:00,20100,0.0505820896,1253.4,1255.4,3,145695,86615,ALLOY,1,0,0,0,0,0,3,145695,86615,이상없음,0
129,18,64,375.8,2020-03-24 11:27:00,2020-03-24 13:30:00,7380,0.0509214092,1253.3,1255.3,6,142070,60500,CARBON,0,1,0,0,0,0,6,142070,60500,이상없음,0
130,18,193,978.3,2020-09-16 09:33:00,2020-09-16 14:53:00,19200,0.050953125,998.5,999.4,2,95200,55100,CARBON,0,1,0,0,0,0,2,95200,55100,이상없음,0
131,18,35,694.3,2020-02-17 06:48:00,2020-02-17 10:35:00,13620,0.0509765051,1252.2,1258.6,6,126160,49100,ALLOY,1,0,0,0,0,0,6,126160,49100,이상없음,0
132,18,43,645.7,2020-02-26 15:29:00,2020-02-26 19:00:00,12660,0.0510031596,1251.9,1257.6,5,180820,55100,CARBON,0,1,0,1,51100,51100,4,129720,55100,이상없음,0
133,18,65,248.5,2020-03-25 11:28:00,2020-03-25 12:49:00,4860,0.0511316872,1252.0,1255.6,8,181830,55100,CARBON,0,1,0,0,0,0,8,181830,55100,이상없음,0
134,18,67,227.2,2020-03-26 11:43:00,2020-03-26 12:57:00,4440,0.051171171200000004,1253.9,1250.7,4,146200,41100,CARBON,0,1,0,2,82200,41100,2,64000,32000,이상없음,0
135,18,111,630.2,2020-06-03 10:19:00,2020-06-03 13:43:00,12240,0.051486928099999996,1250.1,1249.5,4,158900,55100,CARBON,0,1,0,0,0,0,4,158900,55100,이상없음,0
