,가열로 번호,cycle,시작시간,종료시간,가스사용량,Type,소재 list,작업일자,주/야간,평일/주말,in,out,drop_flag,gradient,part_types,temp diff,time diff,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,종료온도,최종 가열시작 온도,평균온도,겹침수량,직전 사이클 소재 수량,겹침여부
375,19,16,2020-03-27 05:04:00,2020-03-27 06:53:00,1330.5,heat,"['191021-19133-003', '200213-19151-003', '200214-19235-003', '200214-19235-003']",2020-03-27,야간,평일,,,0,326.3119266,increasing 0,592.8,1.816666667,1250.8,0,0,2,658,2020-03-27 05:04:00,658,2020-03-27 04:26:00,1250.8,0,,0,3,안겹침
376,19,18,2020-03-30 18:31:00,2020-03-30 19:37:00,905.4,heat,"['190905-19234-096', '190905-19234-096', '200213-19151-005', '190905-19234-103', '190905-19234-103', '191218-19054-010', '191218-19054-010']",2020-03-31,주간,주말,,,0,495.5454545,increasing 0,545.1,1.1,1249,0,0,3,703.9,2020-03-30 18:31:00,703.9,2020-03-30 17:58:00,1249,0,,0,4,안겹침
377,19,19,2020-03-31 16:16:00,2020-03-31 16:54:00,417.4,heat,"['200313-19042-001', '200213-19151-005', '200311-60176-001', '200310-15226-002']",2020-04-01,주간,평일,,,0,763.1052632,increasing 0,483.3,0.633333333,1248.7,2020-03-31 16:36:00,1,4,765.4,2020-03-31 16:16:00,765.4,2020-03-31 16:02:00,1248.7,947.6,,1,7,겹침
378,19,20,2020-04-01 19:11:00,2020-04-01 20:12:00,590,heat,"['191225-15111-003', '190905-19234-084', '190803-19334-003', '190815-15111-001', '190815-15111-001']",2020-04-02,주간,평일,,,0,400.7213115,increasing 0,407.4,1.016666667,1249.2,0,0,1,841.8,2020-04-01 19:11:00,841.8,2020-04-01 18:24:00,1249.2,0,,0,4,안겹침
379,19,21,2020-04-02 13:21:00,2020-04-02 13:46:00,131.5,heat,"['191225-15111-003', '190815-15111-001', '190815-15111-001']",2020-04-02,야간,평일,,,0,430.8,increasing 0,179.5,0.416666667,1246.3,0,0,1,1066.8,2020-04-02 13:20:00,1140.3,2020-04-02 13:18:00,1246.3,0,,3,5,겹침
380,19,22,2020-04-03 03:48:00,2020-04-03 05:37:00,1358.7,heat,"['190424-15198-028', '200116-17035-002', '200228-12005-001', '180530-12005-049']",2020-04-04,주간,평일,,,0,290.0366972,increasing 0,526.9,1.816666667,1245.1,2020-04-03 04:28:00,1,11,718.2,2020-04-03 03:48:00,718.2,2020-04-03 03:02:00,1245.1,786.9,,0,3,안겹침
381,19,24,2020-04-06 17:12:00,2020-04-06 17:38:00,162.6,heat,"['200212-15045-006', '200212-15045-006', '191020-15200-006', '200116-17035-002']",2020-04-06,야간,주말,,,0,662.7692308,increasing 0,287.2,0.433333333,1225.4,0,0,1,938.2,2020-04-06 17:09:00,1008.3,2020-04-06 17:06:00,1225.4,0,,4,4,겹침
382,19,25,2020-04-06 23:11:00,2020-04-06 23:25:00,104.2,heat,"['200116-17035-002', '200214-15226-002', '200214-15226-001']",2020-04-07,주간,주말,,,0,887.5714286,increasing 0,207.1,0.233333333,1253.1,0,0,1,1046,2020-04-06 23:10:00,1043.9,2020-04-06 23:09:00,1253.1,0,,1,4,겹침
383,19,26,2020-04-07 18:37:00,2020-04-07 19:46:00,893.2,heat,"['200306-19334-001', '200318-19240-001', '200318-19240-001', '200318-19240-001', '200318-19240-001', '200318-19240-001', '200212-15045-003', '200212-15045-003']",2020-04-08,주간,평일,,,0,478.6956522,increasing 0,550.5,1.15,1250.3,0,0,3,699.8,2020-04-07 18:37:00,699.8,2020-04-07 18:10:00,1250.3,0,,0,3,안겹침
384,19,28,2020-04-10 03:17:00,2020-04-10 03:54:00,210.4,heat,"['200228-14072-007', '200228-14072-007', '200324-15007-004', '200319-17880-001', '200317-94594-001']",2020-04-10,주간,평일,,,0,224.9189189,increasing 0,138.7,0.616666667,1245.5,2020-04-10 03:34:00,1,3,1106.8,2020-04-10 03:15:00,1087.6,2020-04-10 03:12:00,1245.5,1075,,5,5,겹침
385,19,29,2020-04-10 17:14:00,2020-04-10 17:28:00,125.6,heat,"['200319-17880-001', '200228-14072-007', '200228-14072-007', '200324-15007-004']",2020-04-10,야간,평일,,,0,594,increasing 0,138.6,0.233333333,1250.5,0,0,1,1111.9,2020-04-10 17:03:00,1089.5,2020-04-10 17:01:00,1250.5,0,,4,5,겹침
386,19,31,2020-04-13 18:49:00,2020-04-13 19:15:00,174.1,heat,"['200312-15133-002', '200213-19151-004', '200310-15226-001', '191008-19313-001', '191008-19313-001']",2020-04-14,주간,주말,,,0,722.5384615,increasing 0,313.1,0.433333333,1245.3,0,0,1,932.2,2020-04-13 18:49:00,932.2,2020-04-13 18:41:00,1245.3,0,,0,4,안겹침
387,19,32,2020-04-14 16:31:00,2020-04-14 17:13:00,266.8,heat,"['200213-19151-004', '200228-14072-012', '200226-19581-001']",2020-04-15,주간,평일,,,0,380.7142857,increasing 0,266.5,0.7,1245.7,2020-04-14 16:39:00,1,5,979.2,2020-04-14 16:31:00,979.2,2020-04-14 16:19:00,1245.7,957.5,,1,5,겹침
388,19,35,2020-04-20 19:08:00,2020-04-20 19:23:00,131.4,heat,"['200326-15207-004', '200212-15226-008', '200212-15226-008']",2020-04-20,야간,주말,,,0,1370,increasing 0,342.5,0.25,1250.4,0,0,1,907.9,2020-04-20 19:04:00,969.4,2020-04-20 18:59:00,1250.4,0,,2,4,겹침
389,19,36,2020-04-21 02:48:00,2020-04-21 03:30:00,282.7,heat,"['200212-15226-008', '200212-15226-008', '200326-15207-004']",2020-04-21,주간,평일,,,0,324.7142857,increasing 0,227.3,0.7,1246,2020-04-21 03:02:00,1,5,1018.7,2020-04-21 02:48:00,1018.7,2020-04-21 02:23:00,1246,1027.8,,3,3,겹침
390,19,37,2020-04-21 16:25:00,2020-04-21 17:02:00,425.3,heat,"['200228-19503-006', '200228-19503-006', '200422-011', '200422-011', '200331-19157-001']",2020-04-22,주간,평일,,,0,1069.783784,increasing 0,659.7,0.616666667,1248.3,2020-04-21 16:25:00,0,2,588.6,2020-04-21 16:25:00,588.6,2020-04-21 10:04:00,1248.3,588.6,,0,3,안겹침
391,19,38,2020-04-23 14:48:00,2020-04-23 15:14:00,207,heat,"['191127-15042-017', '191127-15042-016', '200212-15226-008', '200212-15226-008']",2020-04-23,야간,평일,,,0,553.3846154,increasing 0,239.8,0.433333333,1261.7,0,0,1,1021.9,2020-04-23 14:45:00,1092.1,2020-04-23 14:40:00,1261.7,0,,0,5,안겹침
392,19,39,2020-04-24 04:46:00,2020-04-24 05:02:00,154.2,heat,"['191127-15042-016', '191127-15042-017', '200417-99010-001']",2020-04-24,주간,평일,,,0,1123.5,increasing 0,299.6,0.266666667,1253.4,0,0,1,953.8,2020-04-24 04:42:00,1146.6,2020-04-24 04:39:00,1253.4,0,,2,4,겹침
393,19,40,2020-04-24 16:19:00,2020-04-24 17:16:00,708.2,heat,"['200331-17035-001', '200331-19157-001', '190918-12321-026']",2020-04-25,주간,평일,,,0,522.1052632,increasing 0,496,0.95,1232,0,0,3,736,2020-04-24 16:19:00,736,2020-04-24 15:58:00,1232,0,,0,3,안겹침
394,19,41,2020-04-25 09:27:00,2020-04-25 09:46:00,120.2,heat,"['200331-17035-001', '200228-14072-059', '200228-14072-058']",2020-04-25,야간,주말,,,0,756.9473684,increasing 0,239.7,0.316666667,1246.3,0,0,1,1006.6,2020-04-25 09:26:00,1074.4,2020-04-25 09:24:00,1246.3,0,,1,3,겹침
395,19,43,2020-04-27 15:28:00,2020-04-27 15:57:00,249.7,heat,['200331-17035-001'],2020-04-27,야간,주말,,,0,830.2758621,increasing 0,401.3,0.483333333,1268.4,0,0,1,867.1,2020-04-27 15:20:00,1024.1,2020-04-27 15:16:00,1268.4,0,,1,3,겹침
396,19,44,2020-04-27 20:29:00,2020-04-27 21:04:00,266.2,heat,"['200331-17035-001', '200228-12005-001']",2020-04-28,주간,주말,,,0,451.2,increasing 0,263.2,0.583333333,1251.7,2020-04-27 20:47:00,1,6,988.5,2020-04-27 20:26:00,1108.9,2020-04-27 20:23:00,1251.7,917.7,,1,1,겹침
397,19,45,2020-04-28 15:14:00,2020-04-28 15:35:00,108.8,heat,"['200212-15045-012', '200212-15045-012', '200331-17035-001']",2020-04-29,주간,평일,,,0,500.5714286,increasing 0,175.2,0.35,1245.9,0,0,1,1070.7,2020-04-28 15:12:00,1095.3,2020-04-28 15:10:00,1245.9,0,,1,2,겹침
398,19,46,2020-04-29 16:51:00,2020-04-29 17:14:00,116.3,heat,['200331-17035-001'],2020-04-30,주간,평일,,,0,597.3913043,increasing 0,229,0.383333333,1246.1,0,0,1,1017.1,2020-04-29 16:51:00,1017.1,2020-04-29 16:45:00,1246.1,0,,1,3,겹침
