순번,프레스명,작업일자,주/야간,수주번호,시리얼번호,할당가열로,장입가열로,수주치수,사내재질,단조작업내역,비고,강종,수량,투입중량,투입수량,원단위가스량
4778,P15,2020-06-24,야간,190815-15111-002,"1,2","19,18,06",가열로18호기,"745.00 X 0.00 X 12007.00
",SF490V,6/24 06시 입고 예정(열괴)  6/25 주간작업,,CARBON,2,55100,2,40.54
4779,P15,2020-06-24,야간,200414-12005-003,"1,2","19,18,06",가열로18호기,"685.00 X 0.00 X 9265.00
",SF490VM1,6/24 04시 입고 예정(열괴)  시방서 참고,,CARBON,2,35500,2,26.12
4780,P15,2020-06-24,야간,200204-19411-097,"1,4,2,3","19,18,06",가열로6호기,"4185.00 X 3778.00 X 600.00
",TWS355,2차작업  첫작업 요청,6호기,CARBON,4,16085,4,75.61
4781,P15,2020-06-24,야간,200529-19302-032,"8,9,10","19,18,06",가열로6호기,"5300.00 X 4600.00 X 160.00
",S355NL,380T  작업 2회 실시 단조비 충분히 줄 것,6호기,CARBON,3,9845,3,46.28
4782,P15,2020-06-24,야간,200508-99010-008,1,"19,18,06",가열로19호기,"2600.00 X 0.00 X 450.00
",SKT4,"6/23 21~23시 입고 예정(열괴)  COG
가열시간 참고  1차작업",,ALLOY,1,29850,1,44.28
4783,P15,2020-06-24,야간,200508-99010-007,1,"19,18,06",가열로19호기,"2500.00 X 0.00 X 600.00
",SKT4,"6/24 02시 입고 예정(열괴)  COG
가열시간 참고  1차작업",,ALLOY,1,36600,1,54.29
4784,P15,2020-06-24,야간,200508-99101-005,1,"19,18,06",가열로19호기,"2500.00 X 610.00 X 600.00
",SKT4,"6/24 02시 입고 예정(열괴)  COG
가열시간 참고  1차작업",,,1,37600,1,55.77
4785,P15,2020-06-24,야간,200520-12005-001,1,"19,18,06",가열로19호기,"1190.00 X 716.00 X 5265.00
",SF490VM1,6/24 06시 입고 예정(열괴) COG,,CARBON,1,42100,1,62.45
4786,P15,2020-06-24,야간,200529-19302-032,7,"19,18,06",가열로6호기,"5300.00 X 4600.00 X 160.00
",S355NL,380T  작업 2회 실시 단조비 충분히 줄 것,,CARBON,1,9845,1,46.28
4787,P5,2020-06-25,주간,200529-30409-043,001,05,가열로5호기,"482.60 X 0.00 X 6000.00
",TW 4130 M5,S/N:001 시방서참고  (듀펠코),"INGOT
열괴",ALLOY,1,14100,1,63.65
4788,P5,2020-06-25,주간,200529-30409-044,001,05,가열로5호기,"482.60 X 0.00 X 6000.00
",TW 4130 M5,S/N:001 시방서참고  (듀펠코),"INGOT
열괴",ALLOY,1,14100,1,63.65
4789,P5,2020-06-25,주간,200529-30409-045,001,05,가열로5호기,"482.60 X 0.00 X 6000.00
",TW 4130 M5,S/N:001 시방서참고  (듀펠코),"INGOT
열괴",ALLOY,1,14100,1,63.65
4790,P5,2020-06-25,주간,200529-30409-046,001,05,가열로5호기,"482.60 X 0.00 X 6000.00
",TW 4130 M5,S/N:001 시방서참고  (듀펠코),"INGOT
열괴",ALLOY,1,14100,1,63.65
4791,P5,2020-06-25,주간,200529-30409-047,001,05,가열로5호기,"482.60 X 0.00 X 6000.00
",TW 4130 M5,S/N:001 시방서참고  (듀펠코),"INGOT
열괴",ALLOY,1,14100,1,63.65
4792,P5,2020-06-25,주간,200529-30409-048,001,05,가열로5호기,"482.60 X 0.00 X 6000.00
",TW 4130 M5,S/N:001 시방서참고  (듀펠코),"INGOT
열괴",ALLOY,1,14100,1,63.65
4793,P5,2020-06-25,주간,200529-30409-049,001,05,가열로5호기,"508.00 X 0.00 X 5000.00
",TW 4130 M5,S/N:001 시방서참고  (듀펠코)  시편있음.,"INGOT
열괴",ALLOY,1,13600,1,61.39
4794,P5,2020-06-25,야간,200314-19581-002,"001,002","03,04",가열로3호기,"917.00 X 665.00 X 3420.00
",TW S360,"S/N:001-002 시방서참고 R/TRUNK
600T/BAR  2번작업","6/24 P5야
1차작업분",CARBON,2,14550,2,114.51
4795,P5,2020-06-25,야간,200204-19411-113,"001,002,003,004","03,04",가열로4호기,"6000.00 X 5500.00 X 147.00
",TWS355,"40/40/35 S/N:001-004   800 R/B사용.
1528*500*590   단조비 확보.","6/23 P5야
미투입분",CARBON,4,8030,4,124.66
4796,P5,2020-06-25,야간,200520-19478-004,"001,002","03,04",가열로4호기,"6000.00 X 5500.00 X 142.00
",TWS355,"40/40/35 S/N:001-002   400T SLAB사용.
1515*500*585","6/23 P5야
미투입분",CARBON,2,7810,2,121.24
4797,P5,2020-06-25,야간,200520-19478-005,"001,002","03,04",가열로4호기,"6000.00 X 5500.00 X 142.00
",TWS355,"40/40/35 S/N:001-002   400T SLAB사용.
1515*500*585","6/23 P5야
미투입분",CARBON,2,7810,2,121.24
4798,P5,2020-06-25,야간,200610-19197-038,,"03,04",가열로3호기,"1878.00 X 965.00 X 175.00
",TWS355,"20/20/67(시) S/N:001 67T
1567*450*295","6/22 P5야
미작업분",CARBON,1,4350,1,34.24
4799,P5,2020-06-25,야간,200610-19197-038,002,"03,04",가열로3호기,"1878.00 X 965.00 X 175.00
",TWS355,"20/20/20 S/N:002
1550*450*245","6/22 P5야
미작업분",CARBON,1,3520,1,27.7
4800,P8,2020-06-25,야간,"200521-15444-002
<초긴급건>",001,14,가열로14호기,1309.00 X 345.00 X 300.00,TW SCM420,"1349 X 200 X 340
40/145/40","P8 예열
Φ800 R/B",ALLOY,0,3648,1,54.55
4801,P8,2020-06-25,야간,200616-15226-002,001,14,가열로14호기,1280.00 X 550.00 X 407.00,TW F22,"1335 X 300 X 447
55/250/40","P8 예열
Φ800 R/B",ALLOY,0,4703,1,70.33
