,가열로번호,cycle,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,이전 종료온도,쉰시간,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
58,13,14,214,2020-01-15 01:14:00,2020-01-15 01:39:00,1500,747.2,1251.3,1256.5,960,2,51900,25950,CARBON,0,1,0,0,0,0,2,51900,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51900,25950,0,누락없음,1440,1/14/2020,야간,수,겹침,이상없음,2,2,C,평일,0
59,13,13,548.7,2020-01-14 08:40:00,2020-01-14 09:32:00,3120,621.3,1256.5,1257.4,13560,2,51900,25950,CARBON,0,1,0,0,0,0,2,51900,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51900,25950,1,누락없음,2880,1/14/2020,야간,화,안겹침,이상없음,2,0,C,평일,0
60,13,12,373.2,2020-01-13 14:53:00,2020-01-13 15:24:00,1860,656,1257.4,1258,540,2,21225,10650,SUS,0,0,1,0,0,0,0,0,0,2,21225,10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21225,10650,0,누락없음,1800,1/14/2020,주간,월,안겹침,이상없음,2,0,S,주말,0
61,3,7,162.8,2020-01-14 00:14:00,2020-01-14 00:40:00,1560,1011.6,1244.3,1247.8,2820,7,103950,14850,ALLOY,1,0,0,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,0,누락없음,1560,1/14/2020,야간,화,안겹침,이상없음,11,0,A,평일,0
62,17,10,948.7,2020-01-14 05:46:00,2020-01-14 07:14:00,5280,600.2,1197.8,1259.1,1380,4,131995,38895,CARBON,0,1,0,2,76000,38895,2,55995,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95995,38895,1,36000,36000,0,누락없음,5100,1/14/2020,야간,화,겹침,이상없음,6,2,AC,평일,0
63,19,10,443.7,2020-01-13 21:02:00,2020-01-13 21:48:00,2760,837,1247,1249,11040,3,90795,38895,ALLOY,1,0,0,1,38895,38895,2,51900,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38895,38895,2,51900,25950,0,누락없음,2640,1/14/2020,주간,월,안겹침,이상없음,4,0,AC,평일,0
64,6,5,2865.4,2020-01-14 06:11:00,2020-01-14 10:16:00,14700,494.1,1253.3,1184.7,5640,7,61540,11475,CARBON,0,1,0,2,14800,7400,5,46740,11475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26275,11475,4,35265,10065,0,누락없음,14400,1/14/2020,야간,화,안겹침,이상없음,4,0,AC,평일,0
65,4,7,949,2020-01-13 15:18:00,2020-01-13 17:18:00,7200,709.9,1250.4,1250.6,3900,7,109200,15600,ALLOY,1,0,0,7,109200,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,109200,15600,1,누락없음,5580,1/14/2020,주간,월,안겹침,이상없음,5,0,A,평일,0
66,20,10,477.9,2020-01-13 16:59:00,2020-01-13 17:41:00,2520,730.5,1265,1255.4,33960,3,139909,101109,ALLOY,1,0,0,3,139909,101109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38800,24100,1,101109,101109,0,누락없음,2460,1/14/2020,주간,월,안겹침,이상없음,1,0,A,평일,0
67,2,8,582.5,2020-01-13 16:56:00,2020-01-13 18:09:00,4380,660.3,1261.5,1252.3,1680,3,51050,20350,ALLOY,1,0,0,2,30700,15350,1,20350,20350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30700,15350,1,20350,20350,1,누락없음,3540,1/14/2020,주간,월,안겹침,이상없음,10,0,AC,평일,0
68,3,8,274.7,2020-01-15 02:45:00,2020-01-15 03:16:00,1860,829.4,1250,1244.3,960,8,112900,19350,ALLOY,1,0,0,8,112900,19350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14800,7400,6,98100,19350,0,누락없음,1800,1/15/2020,야간,수,안겹침,이상없음,7,0,A,평일,0
69,18,11,505.1,2020-01-14 14:29:00,2020-01-14 15:07:00,2280,714.9,1254.8,1203.7,660,4,82090,36000,CARBON,0,1,0,2,22090,11045,2,60000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46090,24000,1,36000,36000,0,누락없음,2280,1/15/2020,주간,화,안겹침,이상없음,4,0,AC,평일,0
