,가열로번호,cycle,에너지,가열시작시간,가열종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,gradient,temp_diff,time_diff,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
1383,19,154,110.3,2020-07-14 18:01:00,2020-07-14 18:15:00,840,0.131309524,1030.9,1260.8,2,108200,54100,985.2857143,229.9,0.233333333,CARBON,0,1,0,240,0,0,0,2,108200,54100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,108200,54100,0,누락없음,780,7/14/2020,야간,화,겹침,이상없음,5,2,C,평일,0
189,19,22,118.2,2020-02-01 12:48:00,2020-02-01 13:03:00,900,0.131333333,1084.1,1245.5,4,55920,19615,645.6,161.4,0.25,CARBON,0,1,0,360,0,0,0,4,55920,19615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,55920,19615,0,누락없음,840,2/1/2020,야간,토,겹침,이상없음,6,4,C,주말,0
139,19,17,126.2,2020-01-21 14:33:00,2020-01-21 14:49:00,960,0.131458333,1084.1,1247.2,3,193320,91370,611.625,163.1,0.266666667,CARBON,0,1,0,360,0,0,0,3,193320,91370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,193320,91370,0,누락없음,900,1/22/2020,주간,화,겹침,이상없음,3,2,C,평일,0
246,19,26,126.6,2020-02-07 06:07:00,2020-02-07 06:23:00,960,0.131875,1043.1,1245,3,55720,36200,757.125,201.9,0.266666667,CARBON,0,1,0,360,0,0,0,3,55720,36200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,55720,36200,0,누락없음,900,2/7/2020,주간,금,겹침,이상없음,6,2,C,평일,0
941,19,99,103,2020-05-06 21:46:00,2020-05-06 21:59:00,780,0.132051282,1041.7,1250.6,3,137860,92000,964.1538462,208.9,0.216666667,CARBON,0,1,0,360,0,0,0,3,137860,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,137860,92000,0,누락없음,720,5/7/2020,주간,수,겹침,이상없음,3,1,C,평일,0
847,19,88,207,2020-04-23 14:48:00,2020-04-23 15:14:00,1560,0.132692308,1021.9,1261.7,4,107800,29900,553.3846154,239.8,0.433333333,CARBON,0,1,0,480,0,0,0,4,107800,29900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48000,24000,2,59800,29900,0,누락없음,1500,4/23/2020,야간,목,안겹침,이상없음,5,0,C,평일,0
197,19,23,3796.6,2020-02-02 17:55:00,2020-02-03 01:48:00,28380,0.133777308,503.1,1246.5,7,158295,30500,94.30021142,743.4,7.883333333,CARBON,0,1,0,46620,0,0,0,7,158295,30500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,158295,30500,0,누락없음,27900,2/3/2020,야간,일,겹침,이상없음,4,1,C,주말,0
300,19,32,120.4,2020-02-13 04:03:00,2020-02-13 04:18:00,900,0.133777778,1090.7,1247,3,71100,31500,625.2,156.3,0.25,CARBON,0,1,0,420,0,0,0,3,71100,31500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,71100,31500,0,누락없음,840,2/13/2020,주간,목,겹침,이상없음,4,1,C,평일,0
1117,19,120,1025,2020-06-02 17:56:00,2020-06-02 20:03:00,7620,0.134514436,536.4,1247.7,3,191579,110879,336.0472441,711.3,2.116666667,CARBON,0,1,0,56580,0,0,0,3,191579,110879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,191579,110879,0,누락없음,7560,6/3/2020,야간,화,안겹침,이상없음,5,0,C,평일,0
1423,19,160,161.6,2020-07-20 14:59:00,2020-07-20 15:19:00,1200,0.134666667,959.7,1259.7,4,101270,31900,900,300,0.333333333,CARBON,0,1,0,240,1,30140,30140,3,71130,31900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30140,30140,3,71130,31900,0,누락없음,1140,7/20/2020,야간,월,겹침,이상없음,6,3,AC,평일,0
