,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,啊胶荤侩樊,啊凯肺 锅龋,啊凯肯丰 柯档,啊凯吝 付瘤阜 巩摧腮 矫埃,啊凯吝 巩凯覆 冉荐,滑矫埃,家犁 list,矫累矫埃,矫累柯档,角力 矫累矫埃,盔贰矫累痢柯档,捞傈 辆丰矫埃,累诀老磊,辆丰矫埃,辆丰柯档,林/具埃,弥辆 啊凯矫累 柯档,乞闭柯档,乞老/林富
55,hold,3.0,0.0,,,,,,,2684.4000000003725,2,,,,,[''],2020-03-05 07:09:00,1271.2,,,,2020-03-05,2020-03-05 22:39:00,1274.0,具埃,,1256.1940923737916,
56,hold,5.0,0.0,,,,,,,639.6999999992547,2,,,,,[''],2020-03-09 08:49:00,1276.5,,,,2020-03-09,2020-03-09 13:02:00,1273.5,林埃,,1272.3322834645676,
57,hold,6.0,0.0,,,,,,,365.59999999962747,2,,,,,[''],2020-03-10 00:31:00,1272.1,,,,2020-03-10,2020-03-10 02:35:00,1251.9,林埃,,1254.4616,
58,hold,7.0,0.0,,,,,,,95.09999999962747,2,,,,,[''],2020-03-11 17:16:00,1281.5,,,,2020-03-11,2020-03-11 17:57:00,1274.8,林埃,,1273.9738095238095,
59,hold,8.0,0.0,,,,,,,80.09999999962747,2,,,,,[''],2020-03-12 17:20:00,1252.7,,,,2020-03-12,2020-03-12 17:55:00,1255.4,林埃,,1252.8111111111114,
60,hold,9.0,0.0,,,,,,,1111.5999999996277,2,,,,,[''],2020-03-13 09:46:00,1283.6,,,,2020-03-13,2020-03-13 17:56:00,1275.3,林埃,,1273.486761710794,
61,hold,10.0,0.0,,,,,,,2892.0999999996275,2,,,,,[''],2020-03-18 07:05:00,1263.2,,,,2020-03-18,2020-03-18 21:07:00,1253.0,具埃,,1252.9041518386716,
62,hold,11.0,0.0,,,,,,,2589.0999999996275,2,,,,,[''],2020-03-19 06:40:00,1255.7,,,,2020-03-19,2020-03-19 21:46:00,1275.4,具埃,,1255.7950385887543,
63,hold,12.0,0.0,,,,,,,846.1999999992549,2,,,,,[''],2020-03-20 09:48:00,1220.6,,,,2020-03-20,2020-03-20 15:34:00,1205.9,具埃,,1200.9397694524496,
64,hold,13.0,0.0,,,,,,,330.40000000037253,2,,,,,[''],2020-03-25 11:04:00,1277.7,,,,2020-03-25,2020-03-25 12:59:00,1275.3,林埃,,1274.0379310344827,
65,hold,14.0,0.0,,,,,,,223.30000000074506,2,,,,,[''],2020-03-26 11:56:00,1284.8,,,,2020-03-26,2020-03-26 13:06:00,1276.0,林埃,,1275.13661971831,
66,hold,15.0,0.0,,,,,,,582.6999999992547,2,,,,,[''],2020-03-26 18:29:00,1250.7,,,,2020-03-27,2020-03-26 21:22:00,1253.4,林埃,,1253.5097701149425,
67,hold,16.0,0.0,,,,,,,234.80000000074506,2,,,,,[''],2020-03-30 09:12:00,1262.2,,,,2020-03-30,2020-03-30 10:25:00,1253.2,具埃,,1254.3202702702702,
68,hold,17.0,0.0,,,,,,,1642.3000000007446,2,,,,,[''],2020-03-31 10:01:00,1253.8,,,,2020-03-31,2020-03-31 20:34:00,1272.3,具埃,,1254.4184542586752,
69,hold,18.0,0.0,,,,,,,1931.2000000011176,2,,,,,[''],2020-04-01 07:18:00,1262.8,,,,2020-04-01,2020-04-01 20:09:00,1274.7,具埃,,1252.869235751294,
