,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
71,open,3.0,0.0,,[],[],,,,9.0,,1,,,,,[''],2020-03-07 01:58:00,1283.3,,,,2020-03-06,2020-03-07 02:05:00,1087.3,야간,,,
72,reheat,3.0,0.0,,[],[],,,,23.5,,1,,,,4.0,[''],2020-03-07 02:05:00,1087.3,,,,2020-03-06,2020-03-07 02:16:00,,야간,,,
73,heat,4.0,0.0,59.3709677419355,[],[],increasing 0,736.2,12.4,2194.800000000745,2194.800000000745,1,1252.4,0,0.0,46.0,"['가열로다이', '가열로다이', '200221-19234-009', '200221-19234-009', '200221-19234-009_5', '200221-19234-009_3', '200221-19234-009_4']",2020-03-08 17:46:00,516.2,2020-03-07 07:00:00,414.7,2020-03-07 05:46:00,2020-03-09,2020-03-09 06:10:00,1252.4,야간,0.0,,주말
74,open,4.0,0.0,,[],[],,,,5.3999999994412065,,1,,,,,[''],2020-03-09 08:17:00,1254.4,,,,2020-03-09,2020-03-09 08:22:00,840.9,야간,,,
75,reheat,4.0,0.0,,[],[],,,,33.5,,1,,,,2.0,[''],2020-03-09 08:22:00,840.9,,,,2020-03-09,2020-03-09 08:30:00,,야간,,,
76,hold,4.0,0.0,,[],[],,,,40.700000000186265,,1,,,,,[''],2020-03-09 08:30:00,1245.0,,,,2020-03-09,2020-03-09 08:43:00,1264.2,야간,,1250.5857142857142,
77,open,4.0,0.0,,[],[],,,,8.900000000372529,,1,,,,,[''],2020-03-09 08:43:00,1264.2,,,,2020-03-09,2020-03-09 08:47:00,966.1,야간,,,
78,reheat,4.0,0.0,,[],[],,,,28.20000000018627,,1,,,,2.0,[''],2020-03-09 08:47:00,966.1,,,,2020-03-09,2020-03-09 08:55:00,,야간,,,
79,hold,4.0,0.0,,[],[],,,,373.5,,1,,,,,[''],2020-03-09 08:55:00,1259.2,,,,2020-03-09,2020-03-09 11:27:00,1264.0,야간,,1252.9588235294118,
80,open,4.0,0.0,,[],[],,,,3.5,,1,,,,,[''],2020-03-09 11:27:00,1264.0,,,,2020-03-09,2020-03-09 11:30:00,1139.3,야간,,,
81,reheat,4.0,0.0,,[],[],,,,21.099999999627467,,1,,,,2.0,[''],2020-03-09 11:30:00,1139.3,,,,2020-03-09,2020-03-09 11:37:00,,야간,,,
82,hold,4.0,0.0,,[],[],,,,21.0,,1,,,,,[''],2020-03-09 11:37:00,1259.4,,,,2020-03-09,2020-03-09 11:45:00,1263.4,야간,,1253.5,
83,open,4.0,0.0,,[],[],,,,3.5,,1,,,,,[''],2020-03-09 11:45:00,1263.4,,,,2020-03-09,2020-03-09 11:49:00,1071.6,야간,,,
84,reheat,4.0,0.0,,[],[],,,,45.59999999962746,,1,,,,3.0,[''],2020-03-09 11:49:00,1071.6,,,,2020-03-09,2020-03-09 12:02:00,,야간,,,
85,hold,4.0,0.0,,[],[],,,,627.3000000007453,,1,,,,,[''],2020-03-09 12:02:00,1247.1,,,,2020-03-09,2020-03-09 17:53:00,1262.4,야간,,1256.3139204545455,
86,open,4.0,0.0,,[],[],,,,12.299999999813735,,1,,,,,[''],2020-03-09 17:53:00,1262.4,,,,2020-03-09,2020-03-09 18:02:00,1126.4,야간,,,
87,reheat,4.0,0.0,,[],[],,,,17.5,,1,,,,2.0,[''],2020-03-09 18:02:00,1126.4,,,,2020-03-09,2020-03-09 18:08:00,,야간,,,
88,hold,4.0,0.0,,[],[],,,,370.8999999994412,,1,,,,,[''],2020-03-09 18:08:00,1248.8,,,,2020-03-09,2020-03-09 22:05:00,1261.7,야간,,1257.1613445378146,
89,open,4.0,0.0,,[],[],,,,10.5,,1,,,,,[''],2020-03-09 22:05:00,1261.7,,,,2020-03-09,2020-03-09 22:12:00,1127.5,야간,,,
90,reheat,4.0,0.0,,[],[],,,,12.300000000745056,,1,,,,1.0,[''],2020-03-09 22:12:00,1127.5,,,,2020-03-09,2020-03-09 22:18:00,,야간,,,
91,hold,4.0,0.0,,[],[],,,,1.7999999998137357,,1,,,,,[''],2020-03-09 22:18:00,1248.5,,,,2020-03-09,2020-03-09 22:21:00,1264.3,야간,,1255.225,
92,open,4.0,0.0,,[],[],,,,10.5,,1,,,,,[''],2020-03-09 22:21:00,1264.3,,,,2020-03-09,2020-03-09 22:28:00,1041.5,야간,,,
93,reheat,4.0,0.0,,[],[],,,,19.299999999813735,,1,,,,1.0,[''],2020-03-09 22:28:00,1041.5,,,,2020-03-09,2020-03-09 22:35:00,,야간,,,
94,hold,4.0,0.0,,[],[],,,,505.9000000003725,,1,,,,,[''],2020-03-09 22:35:00,1264.1,,,,2020-03-09,2020-03-10 04:11:00,1265.4,야간,,1256.1780415430267,
95,open,4.0,0.0,,[],[],,,,12.199999999254944,,1,,,,,[''],2020-03-10 04:11:00,1265.4,,,,2020-03-09,2020-03-10 04:19:00,1082.3,야간,,,
96,reheat,4.0,0.0,,[],[],,,,14.0,,1,,,,0.0,[''],2020-03-10 04:19:00,1082.3,,,,2020-03-09,2020-03-10 04:26:00,,야간,,,
97,hold,4.0,0.0,,[],[],,,,14.0,,1,,,,,[''],2020-03-10 04:26:00,1247.3,,,,2020-03-09,2020-03-10 04:35:00,1267.5,야간,,1254.89,
98,open,4.0,0.0,,[],[],,,,8.700000000186265,,1,,,,,[''],2020-03-10 04:35:00,1267.5,,,,2020-03-09,2020-03-10 04:41:00,1119.7,야간,,,
99,reheat,4.0,0.0,,[],[],,,,17.5,,1,,,,1.0,[''],2020-03-10 04:41:00,1119.7,,,,2020-03-09,2020-03-10 04:50:00,,야간,,,
100,hold,4.0,0.0,,[],[],,,,33.29999999981373,,1,,,,,[''],2020-03-10 04:50:00,1251.7,,,,2020-03-09,2020-03-10 05:11:00,1266.7,야간,,1256.4545454545455,
101,open,4.0,0.0,,[],[],,,,14.0,,1,,,,,[''],2020-03-10 05:11:00,1266.7,,,,2020-03-09,2020-03-10 05:20:00,1123.3,야간,,,
