,°¡¿­·Î ¹øÈ£,½ÃÀÛ½Ã°£,Á¾·á½Ã°£,°¡½º»ç¿ë·®,Type,¼ÒÀç list,ÀÛ¾÷ÀÏÀÚ,ÁÖ/¾ß°£,in,out,cycle,ÆòÀÏ/ÁÖ¸»,drop_flag,gradient,part_types,temp diff,time diff,°¡½º»ç¿ë·®(¸¶Áö¸· ±¸°£),°¡¿­¿Ï·á ¿Âµµ,°¡¿­Áß ¸¶Áö¸· ¹®´ÝÈù ½Ã°£,°¡¿­Áß ¹®¿­¸² È½¼ö,»¬½Ã°£,½ÃÀÛ¿Âµµ,½ÇÁ¦ ½ÃÀÛ½Ã°£,¿ø·¡½ÃÀÛÁ¡¿Âµµ,ÀÌÀü Á¾·á½Ã°£,Á¾·á¿Âµµ,ÃÖÁ¾ °¡¿­½ÃÀÛ ¿Âµµ,Æò±Õ¿Âµµ,°ãÄ§¼ö·®,Á÷Àü »çÀÌÅ¬ ¼ÒÀç ¼ö·®,°ãÄ§¿©ºÎ
45,5,2019-07-09 21:45:00,2019-07-09 21:56:00,64.59999999962747,reheat,[''],2019-07-09,¾ß°£,[],[],5.0,,0.0,,,,,,,,,1.0,988.4,,,,,,,4,4.0,°ãÄ§
46,5,2019-07-09 22:25:00,2019-07-09 22:34:00,56.5,reheat,[''],2019-07-09,¾ß°£,[],[],5.0,,0.0,,,,,,,,,1.0,1003.0,,,,,,,4,4.0,°ãÄ§
47,5,2019-07-10 20:16:00,2019-07-10 20:36:00,104.59999999962747,reheat,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,1.0,937.4,,,,,,,4,4.0,°ãÄ§
48,5,2019-07-10 20:43:00,2019-07-10 20:55:00,73.0,reheat,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,1.0,967.7,,,,,,,4,4.0,°ãÄ§
49,5,2019-07-10 21:10:00,2019-07-10 21:19:00,39.89999999850989,reheat,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,1.0,975.9,,,,,,,4,4.0,°ãÄ§
50,5,2019-07-10 21:49:00,2019-07-10 22:06:00,81.40000000037253,reheat,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,1.0,1016.4,,,,,,,4,4.0,°ãÄ§
51,5,2019-07-10 22:18:00,2019-07-10 22:29:00,67.89999999850988,reheat,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,1.0,983.5,,,,,,,4,4.0,°ãÄ§
52,5,2019-07-10 22:46:00,2019-07-10 23:04:00,89.70000000111759,reheat,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,2.0,990.2,,,,,,,4,4.0,°ãÄ§
53,5,2019-07-10 23:13:00,2019-07-10 23:35:00,109.60000000149012,reheat,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,1.0,958.6,,,,,,,4,4.0,°ãÄ§
54,5,2019-07-10 23:44:00,2019-07-10 23:55:00,69.59999999962747,reheat,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,1.0,969.4,,,,,,,4,4.0,°ãÄ§
