,가열로 번호,시작시간,시작온도,종료시간,종료온도,평균온도,가스사용량
177,2,2019-12-17 19:05:00,1264.5,2019-12-18 13:28:00,1274.2,1238.9473731884057,3505.7999999988824
178,2,2019-12-18 18:03:00,1265.0,2019-12-19 16:09:00,1276.1,1245.5539562923889,4408.200000001118
179,2,2019-12-19 20:00:00,1265.6,2019-12-20 17:53:00,1274.1,1248.856392694064,4179.299999998882
180,2,2019-12-23 22:28:00,1253.5,2019-12-25 02:09:00,1276.8,1245.9009626955474,4855.5
181,2,2019-12-25 05:16:00,1264.9,2019-12-26 00:59:00,1274.2,1243.4431587837837,4261.5999999996275
182,2,2019-12-26 08:10:00,1264.5,2019-12-27 01:38:00,1275.4,1247.8346043851286,3612.0999999996275
183,2,2019-12-27 03:12:00,1253.0,2019-12-28 06:20:00,1285.4,1255.5707182320443,4387.699999999255
184,2,2019-12-28 09:11:00,1265.7,2019-12-29 06:35:00,1292.4,1253.8406614785993,4075.4000000003725
185,3,2019-07-01 06:55:00,1251.6,2019-07-02 02:54:00,1285.6,1257.8278333333335,3900.7000000011176
186,3,2019-07-02 06:49:00,1261.8,2019-07-03 02:01:00,1271.1,1248.6993061578492,3605.0999999996275
187,3,2019-07-03 04:28:00,1263.0,2019-07-04 03:37:00,1271.1,1237.74345323741,5030.0999999996275
188,3,2019-07-04 04:55:00,1262.2,2019-07-05 05:03:00,1287.0,1249.4366459627329,4330.300000000745
189,3,2019-07-05 07:02:00,1245.6,2019-07-06 03:26:00,1284.9,1250.7456326530612,3923.5
190,3,2019-07-07 22:37:00,1253.8,2019-07-08 18:51:00,1263.6,1248.464279835391,4036.7000000011176
191,3,2019-07-08 21:26:00,1264.5,2019-07-09 12:57:00,1251.8,1249.4536480686697,2782.2999999988824
192,3,2019-07-09 19:16:00,1250.8,2019-07-10 15:09:00,1270.8,1252.5726968174204,3994.0
193,3,2019-07-10 16:03:00,1250.2,2019-07-11 13:33:00,1252.3,1240.952168861348,4348.5
194,3,2019-07-11 18:58:00,1261.1,2019-07-12 14:24:00,1290.3,1262.3105398457583,3736.300000000745
195,3,2019-07-15 21:13:00,1250.9,2019-07-16 16:20:00,1271.2,1254.979268292683,4449.800000000745
196,3,2019-07-16 17:30:00,1287.1,2019-07-17 18:39:00,1272.0,1244.5854966887416,5870.700000001118
197,3,2019-07-17 21:44:00,1282.6,2019-07-18 18:43:00,1271.4,1264.6553968253966,3918.2999999988824
198,3,2019-07-18 20:30:00,1282.4,2019-07-19 19:52:00,1272.2,1260.9421952957946,4279.5
199,3,2019-07-22 17:15:00,1261.1,2019-07-23 13:12:00,1248.5,1251.6883138564274,3430.699999999255
200,3,2019-07-23 19:00:00,1263.6,2019-07-24 14:12:00,1251.7,1247.4168256721596,3968.800000000745
201,3,2019-07-24 23:14:00,1251.1,2019-07-25 17:02:00,1229.9,1246.1588400374183,5775.0
202,3,2019-07-25 20:20:00,1249.2,2019-07-26 19:25:00,1266.9,1248.5349206349206,4476.0
203,3,2019-08-03 07:13:00,1252.7,2019-08-04 03:43:00,1271.4,1252.4435418359058,6569.5
204,3,2019-08-04 06:48:00,1243.0,2019-08-05 05:56:00,1251.5,1249.4737940964721,5603.0999999996275
205,3,2019-08-05 09:50:00,1251.9,2019-08-05 16:32:00,1251.8,1251.517617866005,1826.0999999996275
206,3,2019-08-05 19:00:00,1249.7,2019-08-06 11:21:00,1272.0,1253.939511201629,3192.5999999996275
207,3,2019-08-06 18:36:00,1249.6,2019-08-07 14:55:00,1284.3,1255.4703278688526,4366.5
208,3,2019-08-07 18:49:00,1187.4,2019-08-08 18:45:00,1187.64987937273,1237.2652606077688,4957.4000000003725
209,3,2019-08-08 19:02:00,1187.948250904696,2019-08-09 16:39:00,1210.7122436670288,1199.3302472858625,6802.200000001118
210,3,2019-09-06 21:17:00,1238.6,2019-09-07 11:05:00,1234.1,1219.3685162846803,4321.5
211,3,2019-09-07 11:58:00,1228.6,2019-09-08 04:51:00,1247.4,1225.1594674556216,3759.5999999996275
212,3,2019-09-08 06:14:00,1268.7,2019-09-08 23:24:00,847.8,1241.4341416100874,4239.799999998882
213,3,2019-09-09 04:45:00,1259.4,2019-09-09 23:29:00,1282.0,1249.7272888888888,4780.0
214,3,2019-09-10 05:23:00,1261.3,2019-09-10 23:06:00,1277.9,1235.4001879699247,5226.200000001118
215,3,2019-09-11 01:49:00,1241.0,2019-09-11 22:07:00,1285.8,1247.7090237899918,4957.0
216,3,2019-09-15 15:51:00,1247.6,2019-09-16 18:16:00,1288.6,1249.5105926860022,6567.0999999996275
