,°¡¿­·Î ¹øÈ£,½ÃÀÛ½Ã°£,Á¾·á½Ã°£,°¡½º»ç¿ë·®,Type,¼ÒÀç list,ÀÛ¾÷ÀÏÀÚ,ÁÖ/¾ß°£,in,out,cycle,ÆòÀÏ/ÁÖ¸»,drop_flag,gradient,part_types,temp diff,time diff,°¡¿­¿Ï·á ¿Âµµ,°¡¿­Áß ¸¶Áö¸· ¹®´ÝÈù ½Ã°£,°¡¿­Áß ¹®¿­¸² È½¼ö,»¬½Ã°£,½ÃÀÛ¿Âµµ,½ÇÁ¦ ½ÃÀÛ½Ã°£,¿ø·¡½ÃÀÛÁ¡¿Âµµ,ÀÌÀü Á¾·á½Ã°£,Á¾·á¿Âµµ,ÃÖÁ¾ °¡¿­½ÃÀÛ ¿Âµµ,Æò±Õ¿Âµµ,°ãÄ§¼ö·®,Á÷Àü »çÀÌÅ¬ ¼ÒÀç ¼ö·®,°ãÄ§¿©ºÎ
85,1,2020-03-20 20:30:00,2020-03-20 20:38:00,22.79999999981373,reheat,[''],2020-03-20,¾ß°£,,,9.0,,0.0,,,,,,,,1.0,878.8,,,,,,,4,4.0,°ãÄ§
86,1,2020-03-20 23:53:00,2020-03-20 23:57:00,8.799999999813734,reheat,[''],2020-03-20,¾ß°£,,,9.0,,0.0,,,,,,,,1.0,1156.3,,,,,,,4,4.0,°ãÄ§
87,1,2020-03-21 00:02:00,2020-03-21 00:09:00,15.900000000372527,reheat,[''],2020-03-20,¾ß°£,,,9.0,,0.0,,,,,,,,1.0,1176.2,,,,,,,4,4.0,°ãÄ§
88,1,2020-03-23 06:15:00,2020-03-23 06:18:00,10.700000000186263,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,0.0,1102.0,,,,,,,4,4.0,°ãÄ§
89,1,2020-03-23 06:21:00,2020-03-23 06:37:00,69.70000000018626,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,0.0,1123.8,,,,,,,4,4.0,°ãÄ§
90,1,2020-03-23 09:58:00,2020-03-23 10:08:00,0.0,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,10.0,1142.0,,,,,,,4,4.0,°ãÄ§
91,1,2020-03-23 10:17:00,2020-03-23 10:24:00,0.0,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,7.0,1137.1,,,,,,,4,4.0,°ãÄ§
92,1,2020-03-23 10:32:00,2020-03-23 10:50:00,0.0,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,18.0,1144.3,,,,,,,4,4.0,°ãÄ§
93,1,2020-03-23 12:07:00,2020-03-23 12:09:00,0.0,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,2.0,1246.6,,,,,,,4,4.0,°ãÄ§
94,1,2020-03-23 15:33:00,2020-03-23 15:42:00,22.299999999813732,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,1.0,1105.2,,,,,,,4,4.0,°ãÄ§
